id,heuristic,template,subtemplate_id,label,premise,hypothesis,high_quality,extreme_low_quality,var_list,example_premise,example_hypotheis,example_high_quality,example_extreme_low_quality
10, lexical_overlap, le_relative_clause, 2, entailment, the N1 Vt1 the N2 Rels1 Vt2 the N3., the N2 Vt2 the N3., the N2 is the subject of the relative clause Rels1 Vt2 the N3., N2 Vt2 N3,"['N1', 'Vt1', 'Vt2', 'N2', 'Rels1', 'N3']",the doctor supported the athlete that affected the programmer .,the athlete affected the programmer .,the athlete is the subject of the relative clause that affected the programmer .,athlete affected programmer
11, lexical_overlap, le_relative_clause, 3, entailment, the N1 Vt1 the N2 Rels1 the N3 Vt2., the N3 Vt2 the N2., the N2 N2_Be1 the object of the relative clause Rels1 the N3 Vt2., N2 N3 Vt2,"['N1', 'Vt1', 'Vt2', 'N2', 'Rels1', 'N3', 'N2_Be1']",the doctor mentioned the musicians that the presidents contacted .,the presidents contacted the musicians .,the musicians are the object of the relative clause that the presidents contacted .,musicians presidents contacted
12, lexical_overlap, ln_preposition, 0, neutral, the N1 P1 the N2 Vt1 the N3., the N2 Vt1 the N1.,"the N1 Vt1 the N3 , we do not know whether the N2 Vt1 the N1.", N1 Vt1 N3 not know N2 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1']",the actor behind the writer advised the strategists .,the writer advised the actor .,"the actor advised the strategists , we do not know whether the writer advised the actor .",actor advised strategists not know writer advised actor
13, lexical_overlap, ln_preposition, 1, neutral, the N1 P1 the N2 Vt1 the N3., the N3 Vt1 the N1.,"the N1 Vt1 the N3 , we do not know whether the N3 Vt1 the N1.", N1 Vt1 N3 not know N3 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1']",the technologist in front of the psychotherapist recognized the planners .,the planners recognized the technologist .,"the technologist recognized the planners , we do not know whether the planners recognized the technologist .",technologist recognized planners not know planners recognized technologist
14, lexical_overlap, ln_preposition, 2, neutral, the N1 P1 the N2 Vt1 the N3., the N3 Vt1 the N2.,"the N1 Vt1 the N3 and the N2 N2_Be1 P1 the N1 , we do not know whether the N3 Vt1 the N2.", N1 Vt1 N3 N2 N1 not know N3 Vt1 N2,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N2_Be1']",the artisan by the strategist expected the psychiatrists .,the psychiatrists expected the strategist .,"the artisan expected the psychiatrists and the strategist is by the artisan , we do not know whether the psychiatrists expected the strategist .",artisan expected psychiatrists strategist artisan not know psychiatrists expected strategist
15, lexical_overlap, ln_preposition, 3, neutral, the N1 Vt1 the N2 P1 the N3., the N2 Vt1 the N1.,"the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N1.", N1 Vt1 N2 not know N2 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1']",the doctors helped the musicians behind the bankers .,the musicians helped the doctors .,"the doctors helped the musicians , we do not know whether the musicians helped the doctors .",doctors helped musicians not know musicians helped doctors
16, lexical_overlap, ln_preposition, 4, neutral, the N1 Vt1 the N2 P1 the N3., the N2 Vt1 the N3.,"the N1 Vt1 the N2 and the N2 N2_Be2 P1 the N3 , we do not know whether the N2 Vt1 the N3.", N1 Vt1 N2 N2 N3 not know N2 Vt1 N3,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N1_Be1', 'N2_Be2']",the artisan saw the judge next to the musician .,the judge saw the musician .,"the artisan saw the judge and the judge is next to the musician , we do not know whether the judge saw the musician .",artisan saw judge judge musician not know judge saw musician
17, lexical_overlap, ln_preposition, 5, neutral, the N1 Vt1 the N2 P1 the N3., the N3 Vt1 the N1.,"the N1 Vt1 the N2 and the N2 N2_Be2 P1 the N3 , we do not know whether the N3 Vt1 the N1.", N1 Vt1 N2 N2 N3 not know N3 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N1_Be1', 'N2_Be2']",the animators recognized the curator by the professor .,the professor recognized the animators .,"the animators recognized the curator and the curator is by the professor , we do not know whether the professor recognized the animators .",animators recognized curator curator professor not know professor recognized animators
18, lexical_overlap, ln_relative_clause, 0, neutral, the N1 Rels1 the N2 Vt1 Vt2 the N3., the N2 Vt2 the N1.,"Rels1 in Rels1 the N2 Vt1 refers to the N1 and the N1 Vt2 the N3 , we do not know whether the N2 Vt2 the N1.", N2 Vt1 N1 N1 Vt2 N3 not know N2 Vt2 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the student who the bakers admired contacted the curator .,the bakers contacted the student .,"who in who the bakers admired refers to the student and the student contacted the curator , we do not know whether the bakers contacted the student .",bakers admired student student contacted curator not know bakers contacted student
19, lexical_overlap, ln_relative_clause, 1, neutral, the N1 Rels1 the N2 Vt1 Vt2 the N3., the N3 Vt2 the N1.,"the N1 Vt2 the N3 , we do not know whether the N3 Vt2 the N1.", N1 Vt2 N3 not know N3 Vt2 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the pencillers who the authors recommended addressed the analysts .,the analysts addressed the pencillers .,"the pencillers addressed the analysts , we do not know whether the analysts addressed the pencillers .",pencillers addressed analysts not know analysts addressed pencillers
20, lexical_overlap, ln_relative_clause, 2, neutral, the N1 Rels1 the N2 Vt1 Vt2 the N3., the N3 Vt1 the N2.,"the N1 N1_Be1 the object of the relative clause Rels1 the N2 Vt1 and the N1 Vt2 the N3 , we do not know whether the N3 Vt1 the N2.", N1 N2 Vt1 N1 Vt2 N3 not know N3 Vt1 N2,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N1_Be1']",the counselors that the curator helped brought the actors .,the actors helped the curator .,"the counselors are the object of the relative clause that the curator helped and the counselors brought the actors , we do not know whether the actors helped the curator .",counselors curator helped counselors brought actors not know actors helped curator
21, lexical_overlap, ln_relative_clause, 3, neutral, the N1 Rels1 Vt1 the N2 Vt2 the N3., the N2 Vt2 the N1.,"the N1 N1_Be1 the subject of the relative clause Rels1 Vt1 the N2 and the N1 Vt2 the N3 , we do not know whether the N2 Vt2 the N1.", N1 Vt1 N2 N1 Vt2 N3 not know N2 Vt2 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N1_Be1']",the student who supported the singers avoided the artisan .,the singers avoided the student .,"the student is the subject of the relative clause who supported the singers and the student avoided the artisan , we do not know whether the singers avoided the student .",student supported singers student avoided artisan not know singers avoided student
22, lexical_overlap, ln_relative_clause, 4, neutral, the N1 Rels1 Vt1 the N2 Vt2 the N3., the N3 Vt2 the N1.,"the N1 Vt2 the N3 , we do not know whether the N3 Vt2 the N1.", N1 Vt2 N3 not know N3 Vt2 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the artisans that advised the psychiatrist contacted the nurses .,the nurses contacted the artisans .,"the artisans contacted the nurses , we do not know whether the nurses contacted the artisans .",artisans contacted nurses not know nurses contacted artisans
23, lexical_overlap, ln_relative_clause, 5, neutral, the N1 Rels1 Vt1 the N2 Vt2 the N3., the N3 Vt2 the N2.,"the N1 N1_Be1 the subject of the relative clause Rels1 Vt1 the N2 and the N1 Vt2 the N3 , we do not know whether the N3 Vt2 the N2.", N1 Vt1 N2 N1 Vt2 N3 not know N3 Vt2 N2,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N1_Be1']",the actors that encouraged the judges disturbed the chaplains .,the chaplains disturbed the judges .,"the actors are the subject of the relative clause that encouraged the judges and the actors disturbed the chaplains , we do not know whether the chaplains disturbed the judges .",actors encouraged judges actors disturbed chaplains not know chaplains disturbed judges
24, lexical_overlap, ln_relative_clause, 6, neutral, the N1 Vt1 the N2 Rels1 Vt2 the N3., the N2 Vt1 the N1.,"the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N1.", N1 Vt1 N2 not know N2 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the animator recommended the writer who disturbed the musicians .,the writer recommended the animator .,"the animator recommended the writer , we do not know whether the writer recommended the animator .",animator recommended writer not know writer recommended animator
25, lexical_overlap, ln_relative_clause, 7, neutral, the N1 Vt1 the N2 Rels1 Vt2 the N3., the N2 Vt1 the N3.,"the N2 N2_Be1 the subject of the relative clause Rels1 Vt2 the N3 and the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N3.", N2 Vt2 N3 N1 Vt1 N2 not know N2 Vt1 N3,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N2_Be1']",the bakers called the sculptor who recommended the actors .,the sculptor called the actors .,"the sculptor is the subject of the relative clause who recommended the actors and the bakers called the sculptor , we do not know whether the sculptor called the actors .",sculptor recommended actors bakers called sculptor not know sculptor called actors
26, lexical_overlap, ln_relative_clause, 8, neutral, the N1 Vt1 the N2 Rels1 Vt2 the N3., the N3 Vt1 the N1.,"the N2 N2_Be1 the subject of the relative clause Rels1 Vt2 the N3 and the N1 Vt1 the N2 , we do not know whether the N3 Vt1 the N1.", N2 Vt2 N3 N1 Vt1 N2 not know N3 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N2_Be1']",the chaplains recognized the senators who brought the baker .,the baker recognized the chaplains .,"the senators are the subject of the relative clause who brought the baker and the chaplains recognized the senators , we do not know whether the baker recognized the chaplains .",senators brought baker chaplains recognized senators not know baker recognized chaplains
27, lexical_overlap, ln_relative_clause, 9, neutral, the N1 Vt1 the N2 Rels1 the N3 Vt2., the N2 Vt1 the N1.,"the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N1.", N1 Vt1 N2 not know N2 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the counselors introduced the athlete who the essayists offended .,the athlete introduced the counselors .,"the counselors introduced the athlete , we do not know whether the athlete introduced the counselors .",counselors introduced athlete not know athlete introduced counselors
28, lexical_overlap, ln_relative_clause, 10, neutral, the N1 Vt1 the N2 Rels1 the N3 Vt2., the N2 Vt1 the N3.,"the N2 N2_Be1 the object of the relative clause Rels1 the N3 Vt2 and the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N3.", N2 N3 Vt2 N1 Vt1 N2 not know N2 Vt1 N3,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N2_Be1']",the writers admired the artists who the nurse deceived .,the artists admired the nurse .,"the artists are the object of the relative clause who the nurse deceived and the writers admired the artists , we do not know whether the artists admired the nurse .",artists nurse deceived writers admired artists not know artists admired nurse
29, lexical_overlap, ln_relative_clause, 11, neutral, the N1 Vt1 the N2 Rels1 the N3 Vt2., the N3 Vt1 the N1.,"the N2 N2_Be1 the object of the relative clause Rels1 the N3 Vt2 and the N1 Vt1 the N2 , we do not know whether the N3 Vt1 the N1.", N2 N3 Vt2 N1 Vt1 N2 not know N3 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N2_Be1']",the author disturbed the psychologists that the therapists encouraged .,the therapists disturbed the author .,"the psychologists are the object of the relative clause that the therapists encouraged and the author disturbed the psychologists , we do not know whether the therapists disturbed the author .",psychologists therapists encouraged author disturbed psychologists not know therapists disturbed author
30, lexical_overlap, ln_passive, 0, neutral, the Ns1 was Vt1 by the N2., the Ns1 Vt1 the N2.,"Vt1 is the active form of was Vt1 by , so the N2 Vt1 the Ns1 , we do not know whether the Ns1 Vt1 the N2.", Vt1 Vt1 N2 Vt1 Ns1 not know Ns1 Vt1 N2,"['Ns1', 'N2', 'Vt1']",the tourist was recommended by the strategists .,the tourist recommended the strategists .,"recommended is the active form of was recommended by , so the strategists recommended the tourist , we do not know whether the tourist recommended the strategists .",recommended recommended strategists recommended tourist not know tourist recommended strategists
31, lexical_overlap, ln_passive, 1, neutral, the Np1 were Vt1 by the N2., the Np1 Vt1 the N2.,"Vt1 is the active form of were Vt1 by , so the N2 Vt1 the Np1 , we do not know whether the Np1 Vt1 the N2.", Vt1 Vt1 N2 Vt1 Np1 not know Np1 Vt1 N2,"['Np1', 'N2', 'Vt1']",the photojournalists were brought by the scientist .,the photojournalists brought the scientist .,"brought is the active form of were brought by , so the scientist brought the photojournalists , we do not know whether the photojournalists brought the scientist .",brought brought scientist brought photojournalists not know photojournalists brought scientist
32, lexical_overlap, ln_conjunction, 0, neutral, the N1 and the N2 Vt1 the N3., the N1 Vt1 the N2.,"the N1 Vt1 the N3 and the N2 Vt1 the N3 , we do not know whether the N1 Vt1 the N2.", N1 Vt1 N3 N2 Vt1 N3 not know N1 Vt1 N2,"['N1', 'N2', 'N3', 'Vt1']",the administrators and the artisan found the senator .,the administrators found the artisan .,"the administrators found the senator and the artisan found the senator , we do not know whether the administrators found the artisan .",administrators found senator artisan found senator not know administrators found artisan
33, lexical_overlap, ln_conjunction, 1, neutral, the N1 and the N2 Vt1 the N3., the N2 Vt1 the N1.,"the N1 Vt1 the N3 and the N2 Vt1 the N3 , we do not know whether the N2 Vt1 the N1.", N1 Vt1 N3 N2 Vt1 N3 not know N2 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1']",the directors and the chaplains disturbed the designer .,the chaplains disturbed the directors .,"the directors disturbed the designer and the chaplains disturbed the designer , we do not know whether the chaplains disturbed the directors .",directors disturbed designer chaplains disturbed designer not know chaplains disturbed directors
34, lexical_overlap, ln_conjunction, 2, neutral, the N1 Vt1 the N2 and the N3., the N2 Vt1 the N3.,"the N1 Vt1 the N2 and the N1 Vt1 the N3 , we do not know whether the N2 Vt1 the N3.", N1 Vt1 N2 N1 Vt1 N3 not know N2 Vt1 N3,"['N1', 'N2', 'N3', 'Vt1']",the artisans brought the doctors and the chaplains .,the doctors brought the chaplains .,"the artisans brought the doctors and the artisans brought the chaplains , we do not know whether the doctors brought the chaplains .",artisans brought doctors artisans brought chaplains not know doctors brought chaplains
35, lexical_overlap, ln_conjunction, 3, neutral, the N1 Vt1 the N2 and the N3., the N3 Vt1 the N2.,"the N1 Vt1 the N2 and the N1 Vt1 the N3 , we do not know whether the N3 Vt1 the N2.", N1 Vt1 N2 N1 Vt1 N3 not know N3 Vt1 N2,"['N1', 'N2', 'N3', 'Vt1']",the artists advised the pencillers and the counselors .,the counselors advised the pencillers .,"the artists advised the pencillers and the artists advised the counselors , we do not know whether the counselors advised the pencillers .",artists advised pencillers artists advised counselors not know counselors advised pencillers
36, lexical_overlap, ln_subject/object_swap, 0, neutral, the N1 Vt1 the N2., the N2 Vt1 the N1.,"the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N1.", N1 Vt1 N2 not know N2 Vt1 N1,"['N1', 'N2', 'Vt1']",the lyricist thanked the students .,the students thanked the lyricist .,"the lyricist thanked the students , we do not know whether the students thanked the lyricist .",lyricist thanked students not know students thanked lyricist
37, subsequence, se_adjective, 0, entailment, Adj1 Np1 Vi1., Np1 Vi1., Adj1 Np1 are still Np1., Adj1 Np1 Np1,"['Adj1', 'Np1', 'Vi1']",ambitious judges arrived .,judges arrived .,ambitious judges are still judges .,ambitious judges judges
38, subsequence, se_adjective, 1, entailment, Adj1 Np1 Vt1 the N2., Np1 Vt1 the N2., Adj1 Np1 are still Np1., Adj1 Np1 Np1,"['Adj1', 'Np1', 'Vt1', 'N2']",reliable pencillers helped the photojournalists .,pencillers helped the photojournalists .,reliable pencillers are still pencillers .,reliable pencillers pencillers
39, subsequence, se_understood_object, 0, entailment,the N1 Vunderstand1 the Vunderstand1_O1., the N1 Vunderstand1., Vunderstand1 the Vunderstand1_O1 is still Vunderstand1., Vunderstand1 Vunderstand1_O1 Vunderstand1,"['N1', 'Vunderstand1_O1', 'Vunderstand1']",the therapists wrote the speech .,the therapists wrote .,wrote the speech is still wrote .,wrote speech wrote
40, subsequence, se_relative_clause_on_obj, 0, entailment, the N1 Vt1 the N2 Rels1 Vi2., the N1 Vt1 the N2., the N2 Rels1 Vi2 N2_Be1 still the N2., N2 Vi2 N2,"['N1', 'Vt1', 'N2', 'N2_Be1', 'Rels1', 'Vi2']",the lawyer called the directors who worked .,the lawyer called the directors .,the directors who worked are still the directors .,directors worked directors
41, subsequence, se_relative_clause_on_obj, 1, entailment, the N1 Vt1 the N2 Rels1 the N3 Vt2., the N1 Vt1 the N2., the N2 Rels1 the N3 Vt2 N2_Be1 still the N2., N2 N3 Vt2 N2,"['N1', 'Vt1', 'N2', 'N2_Be1', 'Rels1', 'Vt2', 'N3']",the singer supported the senator that the writers introduced .,the singer supported the senator .,the senator that the writers introduced is still the senator .,senator writers introduced senator
42, subsequence, se_relative_clause_on_obj, 2, entailment, the N1 Vt1 the N2 Rels1 Vt2 the N3., the N1 Vt1 the N2., the N2 Rels1 Vt2 the N3 N2_Be1 still the N2., N2 Vt2 N3 N2,"['N1', 'Vt1', 'N2', 'N2_Be1', 'Rels1', 'Vt2', 'N3']",the actors admired the lyricists that found the therapist .,the actors admired the lyricists .,the lyricists that found the therapist are still the lyricists .,lyricists found therapist lyricists
43, subsequence, se_PP_on_obj, 0, entailment, the N1 Vt1 the N2 P1 the N3., the N1 Vt1 the N2., the N2 P1 the N3 N2_Be1 still the N2., N2 N3 N2,"['N1', 'Vt1', 'N2', 'N2_Be1', 'P1', 'N3']",the photographer affected the author near the planner .,the photographer affected the author .,the author near the planner is still the author .,author planner author
44, subsequence, se_conjunction, 0, entailment, the N1 and the N2 Vi1., the N2 Vi1., the N2 N2_Be1 part of the N1 and the N2., N2 N1 N2,"['N1', 'Vi1', 'N2', 'N2_Be1']",the photojournalists and the counselor cried .,the counselor cried .,the counselor is part of the photojournalists and the counselor .,counselor photojournalists counselor
45, subsequence, se_conjunction, 1, entailment, the N1 and the N2 Vt1 the N3., the N2 Vt1 the N3., the N2 N2_Be1 part of the N1 and the N2., N2 N1 N2,"['N1', 'Vt1', 'N2', 'N3', 'N2_Be1']",the banker and the judge mentioned the engineers .,the judge mentioned the engineers .,the judge is part of the banker and the judge .,judge banker judge
46, subsequence, se_conjunction, 2, entailment, the N1 Vt1 the N2 and the N3., the N1 Vt1 the N2., the N2 N2_Be1 part of the N2 and the N3., N2 N2 N3,"['N1', 'Vt1', 'N2', 'N3', 'N2_Be1']",the programmer mentioned the student and the penciller .,the programmer mentioned the student .,the student is part of the student and the penciller .,student student penciller
47, subsequence, sn_PP_on_subject, 0, neutral, the N1 P1 the N2 Vi1., the N2 Vi1.,"the N1 N1_Be1 P1 the N2 and the N1 Vi1 , we do not know whether the N2 Vi1.", N1 N2 N1 Vi1 not know N2 Vi1,"['N1', 'Vi1', 'N2', 'P1', 'N1_Be1']",the planner next to the psychotherapist existed .,the psychotherapist existed .,"the planner is next to the psychotherapist and the planner existed , we do not know whether the psychotherapist existed .",planner psychotherapist planner existed not know psychotherapist existed
48, subsequence, sn_PP_on_subject, 1, neutral, the N1 P1 the N2 Vt1 the N3., the N2 Vt1 the N3.,"the N1 N1_Be1 P1 the N2 and the N1 Vt1 the N3 , we do not know whether the N2 Vt1 the N3.", N1 N2 N1 Vt1 N3 not know N2 Vt1 N3,"['N1', 'Vt1', 'N2', 'N3', 'P1', 'N1_Be1']",the psychotherapists in front of the athlete recommended the animators .,the athlete recommended the animators .,"the psychotherapists are in front of the athlete and the psychotherapists recommended the animators , we do not know whether the athlete recommended the animators .",psychotherapists athlete psychotherapists recommended animators not know athlete recommended animators
49, subsequence, sn_relative_clause_on_subject, 0, neutral, the N1 Rels1 Vt1 the N2 Vi2., the N2 Vi2.,"the N1 Rels1 Vt1 the N2 is still the N1 , so the N1 Vi2 and we do not know whether the N2 Vi2.", N1 Vt1 N2 N1 N1 Vi2 not know N2 Vi2,"['N1', 'Vt1', 'N2', 'Vi2', 'Rels1']",the actor who expected the stylists sat .,the stylists sat .,"the actor who expected the stylists is still the actor , so the actor sat and we do not know whether the stylists sat .",actor expected stylists actor actor sat not know stylists sat
50, subsequence, sn_relative_clause_on_subject, 1, neutral, the N1 Rels1 Vt1 the N2 Vt2 the N3., the N1 Vt2 the N3.,"the N1 Rels1 Vt1 the N2 is still the N1 , so the N1 Vt2 the N3 and we do not know whether the N2 Vt2 the N3.", N1 Vt1 N2 N1 N1 Vt2 N3 not know N2 Vt2 N3,"['N1', 'Vt1', 'N2', 'Vt2', 'Rels1', 'N3']",the stylists that introduced the baker saw the lyricists .,the stylists saw the lyricists .,"the stylists that introduced the baker is still the stylists , so the stylists saw the lyricists and we do not know whether the baker saw the lyricists .",stylists introduced baker stylists stylists saw lyricists not know baker saw lyricists
51, subsequence, sn_past_participle, 0, neutral, the N1 Vpp1 in the Nlocation2 Vi2., the N1 Vpp1 in the Nlocation2., the N1 N1_BePast1 Vpp1 in the Nlocation2 and we do not know whether N1 Vpp1 in the Nlocation2., N1 N1_BePast1 Vpp1 Nlocation2 not know N1 Vpp1 Nlocation2,"['N1', 'Nlocation2', 'Vpp1', 'Vi2', 'N1_BePast1']",the singer helped in the laboratory appeared .,the singer helped in the laboratory .,the singer was helped in the laboratory and we do not know whether singer helped in the laboratory .,singer was helped laboratory not know singer helped laboratory
52, subsequence, sn_past_participle, 1, neutral, the N1 Vpp1 in the Nlocation2 Vt2 the N3., the N1 Vpp1 in the Nlocation2., the N1 N1_BePast1 Vpp1 in the Nlocation2 and we do not know whether N1 Vpp1 in the Nlocation2., N1 N1_BePast1 Vpp1 Nlocation2 not know N1 Vpp1 Nlocation2,"['N1', 'Nlocation2', 'Vpp1', 'Vt2', 'N3', 'N1_BePast1']",the authors studied in the museum affected the essayists .,the authors studied in the museum .,the authors were studied in the museum and we do not know whether authors studied in the museum .,authors were studied museum not know authors studied museum
53, subsequence, sn_past_participle, 2, neutral, the N1 Vt1 the N2 Vpp2 in the Nlocation3.,the N2 Vpp2 in the Nlocation3., the N2 N2_BePast1 Vpp2 in the Nlocation3 and we do not know whether N2 Vpp2 in the Nlocation3., N2 N2_BePast1 Vpp2 Nlocation3 not know N2 Vpp2 Nlocation3,"['N1', 'Nlocation3', 'Vt1', 'Vpp2', 'N2', 'N2_BePast1']",the engineers introduced the judge paid in the laboratory .,the judge paid in the laboratory .,the judge was paid in the laboratory and we do not know whether judge paid in the laboratory .,judge was paid laboratory not know judge paid laboratory
54, subsequence, sn_NP/Z, 0, neutral, Conj1 the N1 Vnpz1 the N2 Vi2., the N1 Vnpz1 the N2.,"the N2 Vi2 , we do not know whether the N1 Vnpz1 the N2.", N2 Vi2 not know N1 Vnpz1 N2,"['Conj1', 'N1', 'N2', 'Vnpz1', 'Vi2']",although the artisan fought the animator performed .,the artisan fought the animator .,"the animator performed , we do not know whether the artisan fought the animator .",animator performed not know artisan fought animator
55, subsequence, sn_NP/Z, 1, neutral, Conj1 the N1 Vnpz1 the N2 Vt2 the N3., the N1 Vnpz1 the N2.,"the N2 Vt2 the N3 , we do not know whether the N1 Vnpz1 the N2.", N2 Vt2 N3 not know N1 Vnpz1 N2,"['Conj1', 'N1', 'N2', 'Vnpz1', 'Vt2', 'N3']",while the dancer presented the designers deceived the lyricists .,the dancer presented the designers .,"the designers deceived the lyricists , we do not know whether the dancer presented the designers .",designers deceived lyricists not know dancer presented designers
56, subsequence, sn_NP/S, 0, neutral, the N1 Vnps1 the N2 Vi2., the N1 Vnps1 the N2.,"the N1 Vnps1 the N2 Vi2 , we do not know whether the N1 Vnps1 the N2 doing other things.", N1 Vnps1 N2 Vi2 not know N1 Vnps1 N2,"['N1', 'N2', 'Vnps1', 'Vi2']",the doctor heard the worker grew .,the doctor heard the worker .,"the doctor heard the worker grew , we do not know whether the doctor heard the worker doing other things .",doctor heard worker grew not know doctor heard worker
